SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.4,0.22,33.9,28,11,1.61,9.67,0,0,0,0,0,77.82
2.7,0.29,30.1,37,13,2.21,11.04,0,0,0,0,0,78.14
4.3,0.5,28,36,21,3.33,17.38,1.961,0.228,1.734,0,0,72.95
4.1,0.4,32.2,30,17,2.83,14.65,2.113,0.167,1.946,0,0,80.02
4.5,0.46,35.8,37,20,3.38,16.14,2.039,0.129,1.91,0,0,79.52
3.5,0.37,34.4,43,16,2.38,13.83,0,0,0,0,0,76.29
3.8,0.6,28.5,43,27,5.32,21.25,1.964,0.238,1.726,0,0,72.61
3.2,0.56,19.2,32,28,8,19.89,1.952,0.214,1.738,0,0,77.67
4,0.41,27.9,27,17,2.92,14.04,1.953,0.087,1.866,0,0,86.2
3.1,0.34,27.7,33,14,2.16,12.25,0,0,0,0,0,80.38
3,0.55,20.7,30,23,5.62,17.53,1.939,0.184,1.755,0,0,75.16
4.1,0.42,29.3,26,14,2.04,12.13,1.959,0.07,1.89,0,0,82.73
3.3,0.35,28.9,30,13,1.81,11.13,0,0,0,0,0,78.32
3,0.5,19.4,30,23,5.26,18.1,1.928,0.197,1.73,0,0,70.82
3.9,0.35,27.5,26,16,2.93,12.85,2.001,0.085,1.916,0,0,77.34
3.4,0.29,27.1,31,13,2.32,11.16,0,0,0,0,0,74.02
5,0.41,26.9,32,20,3.87,16.46,2.102,0.152,1.95,0,0,82.56
3.8,0.34,27.2,41,17,4.3,12.36,0,0,0,0,0,79.41
4.3,0.6,21.1,41,29,5.79,22.77,2.057,0.285,1.772,0,0,74.87
5,0.3,34.2,26,16,2.12,14.02,1.95,0.075,1.876,0,0,76.9
4,0.48,28.8,33,23,3.93,19.47,1.954,0.213,1.741,0,0,69.35
3.9,0.26,35.5,34,13,3.03,10.45,0,0,0,0,0,74.47
5.3,0.37,40.2,38,16,2.24,13.41,2.112,0.132,1.98,0,0,76.6
4.2,0.29,39.9,45,13,3.56,9.31,0,0,0,0,0,74.17
5.5,0.49,39.3,42,21,3.22,17.38,1.994,0.219,1.775,0,0,68.76
3.5,0.2,28.2,19,9,2.01,7.39,1.998,0.105,1.892,0,0,76.62
4.7,0.28,26.6,26,14,3.36,10.22,1.825,0.151,1.674,0,0,69.56
2.9,0.13,25.7,25,10,3.69,6.24,0,0,0,0,0,74.34
