SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
4.4,0.64,23.8,40,28.69,4.31,24.38,2.308,0.268,2.04,1.58,20.94,66.14
6.2,0.43,34.1,0,23.63,3.01,20.62,2.215,0.161,2.05,2.43,21.43,69.79
4.8,0.51,27.7,35,26.1,3.6,22.49,2.293,0.209,2.09,2.03,20.33,70.16
4.1,0.52,27.9,43,29.16,4.88,24.29,2.234,0.222,2.01,2.19,19.85,68.67
3.6,0.48,26.8,46,22.89,3.56,19.32,0,0,0,2.42,18.85,67.9
1.9,0.41,33.9,35,12.2,2.06,10.14,0,0,0,1.18,20.23,70.32
4.3,0.53,27.9,41,29.13,5.72,23.41,2.318,0.239,2.08,2.04,20.47,72.4
5.5,0.68,23.6,43,31.79,5,26.79,2.34,0.287,2.05,1.47,21.57,69.84
6.2,0.63,26,48,37.96,6.86,31.09,2.247,0.262,1.99,1.81,21.56,71.4
5.3,0.55,28.1,38,28.18,3.98,24.19,2.301,0.217,2.08,1.94,20.94,73.52
3.1,0.51,28.1,44,24.73,4.3,20.43,2.156,0.167,1.99,2.11,20.36,71.12
3.8,0.58,32.3,42,23.68,2.87,20.81,2.175,0.186,1.99,2.42,20.83,71.84
6.5,0.47,34.7,23,26,3.17,22.83,2.258,0.149,2.11,2.24,21.93,73.7
3.6,0.52,26.8,48,24.18,4.02,20.16,0,0,0,2.28,19.58,72.15
4.7,0.71,27.5,45,31.21,4.55,26.67,2.303,0.235,2.07,1.79,21.2,69.11
3.7,0.56,31.3,45,24.5,2.67,21.84,2.271,0.183,2.09,2.24,21.49,73.5
1.9,0.45,31.8,38,13.23,2.08,11.15,0,0,0,1.07,20.7,73.55
4.7,0.86,27.1,45,34.97,6.31,28.66,2.349,0.341,2.01,1.17,21.42,71.35
5.7,0.57,27.2,42,29.83,4.62,25.21,2.392,0.265,2.13,1.86,22.08,75.25
4.8,0.73,27.4,39,34.9,5.61,29.3,2.347,0.266,2.08,1.72,22.54,70.03
4.6,0.91,26.6,43,38.74,7.74,31,2.416,0.395,2.02,1.16,22.45,72.42
5.1,0.52,26.5,42,29.15,7.22,21.93,2.34,0.279,2.06,1.99,21.81,73.77
3.8,0.6,32.1,46,25.35,3.02,22.32,2.224,0.227,2,2.27,22.26,72.81
6.1,0.66,24.6,47,42.28,8.98,33.31,2.321,0.305,2.02,1.77,22.92,72.27
