SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.9,0.48,0,30.2,18,26.24,5.23,21.01,0,0,0,2.67,26.19,73.29
1.8,0.18,391.52,47.1,12,3.61,0.81,2.75,0,0,0,0,21.26,95.15
3.1,0.65,0,27.8,16,30.56,7.92,22.65,2.108,0.203,1.91,2.08,28.08,72.97
0,0.38,0,37.6,17,15.5,2.84,12.65,0,0,0,2.17,27.44,71.41
2.8,0.51,0,28.4,11,23.4,5.14,18.26,2.115,0.153,1.96,2.3,27.17,78.36
3,0.45,419.72,32.6,15,23.3,5.3,18,1.95,0.15,1.8,1.89,27.22,71.83
3,0.56,0,30.3,17,27.66,5.54,22.12,0,0,0,2.1,28.38,72.02
3.3,1.4,0,0,15,62.66,32.38,30.27,2.494,0.446,2.05,0,0,0
3.4,1.32,0,0,11,60.58,36.39,24.2,2.297,0.415,1.88,0,0,0
2.9,0.51,0,18.1,13,28.24,8.19,20.05,0,0,0,2.1,29.66,74.41
5.7,0.32,0,24.1,14,16.13,3.4,12.73,0,0,0,2.43,28.65,73.86
2.9,0.45,0,18.4,9,23.14,6.67,16.47,2.045,0.169,1.88,2.24,28.41,81.05
1.8,0.12,405.18,30.4,9,3.75,1.15,2.62,0,0,0,0,22.42,93.92
3,0.62,0,16,12,32.55,11.5,21.05,2.103,0.246,1.86,2.09,29.25,75.36
3.5,0.43,418.35,20.1,12,25.61,7.98,17.63,1.931,0.155,1.78,1.93,28.51,74.01
3.6,0.44,420.56,25.9,16,24.23,6.49,17.74,1.948,0.155,1.79,1.83,30.19,66.5
2.7,0.43,0,23.7,12,20.6,4.8,15.8,2.008,0.169,1.84,2.21,29.77,74.78
3.5,0.58,0,21.8,17,28.91,8.52,20.39,2.04,0.179,1.86,2.12,30.87,67.82
