SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
4.3,0.52,37.1,45,23.16,2.55,20.59,2.305,0.208,2.1,2.06,24.55,74.94
3.4,0.45,30.2,36,25.98,4.34,21.64,2.164,0.185,1.98,1.88,24.86,73.31
6.2,0.39,40.6,38,21.23,2.77,18.47,2.207,0.126,2.08,2.17,25.76,75.79
6.1,0.51,36.5,36,25.13,3.7,21.43,2.393,0.249,2.14,1.72,24.98,76.33
5.3,0.51,32.4,38,28,4.65,23.35,2.259,0.236,2.02,1.86,24.93,74.16
3.8,0.55,36.4,40,22.93,2.77,20.15,2.193,0.206,1.99,2.15,25.28,73.23
4.6,0.25,36.1,29,11.73,1.61,10.1,2.064,0.039,2.03,2.25,28.37,82.57
4.7,0.54,31.5,28,20.77,3.2,17.56,2.187,0.225,1.96,1.68,28.57,77.15
4.3,0.41,32.1,29,18.86,2.78,16.08,2.123,0.167,1.96,1.84,27.96,78.45
3.8,0.4,31.8,24,19.98,3.51,16.47,2.079,0.164,1.92,1.85,28.2,76.13
6.5,0.5,30.4,24,23.28,3.86,19.42,2.132,0.18,1.95,1.78,28.22,76.44
4.6,0.37,30.1,24,17.17,2.67,14.5,2.264,0.179,2.09,1.83,27.89,80.46
6.6,0.63,29.2,24,26.79,4.54,22.25,2.229,0.268,1.96,1.26,29.3,77.85
4.3,0.42,34.9,34,17.99,2.67,15.32,2.142,0.153,1.99,2.11,27.64,79.1
4.7,0.44,34.1,29,17.38,2.28,15.09,2.067,0.156,1.91,2.06,28.25,77.93
9.8,0.48,25.7,26,29.68,6.11,23.57,2.135,0.211,1.92,1.92,28.58,79.02
4,0.34,32.1,19,15.43,2.7,12.73,2.008,0.123,1.89,2.31,28.3,78.87
7.9,0.4,26.1,16,22.65,5.42,17.23,2.056,0.174,1.88,2.12,28.49,82.07
5.2,0.51,28.8,16,21.48,4.56,16.92,2.116,0.198,1.92,1.32,29.11,79.54
3.3,0.34,32.8,17,18.06,3.7,14.36,1.951,0.144,1.81,1.82,28.45,77.16
4.8,0.4,28,16,19.62,3.94,15.68,2.042,0.136,1.91,1.85,28.31,78.2
4.3,0.37,33.4,19,16.32,3.02,13.29,2.008,0.14,1.87,2.4,28.55,78.5
3,0.21,33.9,18,9.02,1.84,7.19,2.038,0.048,1.99,2.48,28.01,82.3
4.3,0.3,31.9,16,13.41,2.34,11.06,2.224,0.163,2.06,1.69,27.97,82.49
3.7,0.47,30.1,16,16.81,2.83,13.98,2.095,0.182,1.91,1.65,28.74,79.04
3.7,0.38,33,20,15.83,2.67,13.15,2.036,0.127,1.91,2.21,28.32,78.93
9.2,0.36,25.7,11,20.34,4.32,16.02,2.014,0.159,1.86,2.15,29.47,78.86
3.5,0.42,28.9,15,15.05,2.49,12.55,2.078,0.172,1.91,1.85,29.54,77.27
3.7,0.35,30.6,16,15.07,2.18,12.87,2.008,0.125,1.88,2.3,29.25,77.42
4.3,0.33,31.4,17,15.19,2.55,12.63,1.949,0.135,1.81,2.16,29.62,76.4
2.8,0.15,33.2,17,7.25,1.3,5.94,1.989,0.026,1.97,2.53,28.61,78.37
4.7,0.26,29,17,13.24,3.05,10.18,2.174,0.143,2.03,1.3,28.88,80.43
3.8,0.3,29.6,16,14.15,2.23,11.92,1.968,0.116,1.85,2,28.99,77.85
3.7,0.31,27.8,17,17.84,3.56,14.28,1.966,0.175,1.79,1.9,29.33,75.47
5.2,0.37,26.6,15,17.68,3.3,14.37,1.944,0.127,1.82,1.86,29.16,76.51
5.5,0.47,26.5,13,19.37,3.55,15.83,2.087,0.198,1.89,1.08,29.93,77.99
3.3,0.25,20.7,15,15.25,3.68,11.56,1.858,0.133,1.73,2.07,30.3,71.61
7.8,0.23,18.9,7,18.32,5.3,13.02,1.948,0.139,1.81,2.35,30.31,76.29
3.5,0.24,21.1,12,12.29,2.23,10.06,1.931,0.102,1.83,2.29,30.26,73.46
3.9,0.23,21.6,12,12.71,2.52,10.18,1.883,0.099,1.78,2.21,29.96,73.91
7.1,0.23,19.3,14,14.3,4.36,9.94,2.166,0.191,1.98,1.46,29.89,76.6
3.8,0.36,20,11,14.56,3.03,11.54,2.007,0.157,1.85,1.79,30.52,72.51
4.3,0.23,22.3,13,12.52,2.39,10.13,1.864,0.093,1.77,2.33,30.52,73.26
5.2,0.27,17.9,12,16.05,3.93,12.11,1.81,0.098,1.71,1.8,30.26,72.92
